ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
v_erzyamordvinerzy1239-mDH-1,,v_erzyamordvinerzy1239,mDH,sodamo,sodamo,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-mDH-2,,v_erzyamordvinerzy1239,mDH,ov,ov,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-mDH-3,,v_erzyamordvinerzy1239,mDH,ezna,ezna,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-mWeZH-1,,v_erzyamordvinerzy1239,mWeZH,svojak,svojak,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-mWyZH-1,,v_erzyamordvinerzy1239,mWyZH,palʹdʹej,palʹdʹej,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-mHeBW-1,,v_erzyamordvinerzy1239,mHeBW,kijalo,kijalo,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-mHeBW-2,,v_erzyamordvinerzy1239,mHeBW,uŕva,uŕva,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fB-1,,v_erzyamordvinerzy1239,fB,brat,brat,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fZ-1,,v_erzyamordvinerzy1239,fZ,patʹat-sazort,patʹat-sazort,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-feB-1,,v_erzyamordvinerzy1239,feB,lʹelʹa,lʹelʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fyB-1,,v_erzyamordvinerzy1239,fyB,jalaks,jalaks,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fyB-2,,v_erzyamordvinerzy1239,fyB,duga,duga,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-feZ-1,,v_erzyamordvinerzy1239,feZ,patʹa,patʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fyZ-1,,v_erzyamordvinerzy1239,fyZ,sazor,sazor,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fP-1,,v_erzyamordvinerzy1239,fP,tʹetʹat-avat,tʹetʹat-avat,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fF-1,,v_erzyamordvinerzy1239,fF,tʹetʹa,tʹetʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fM-1,,v_erzyamordvinerzy1239,fM,ava,ava,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fC-1,,v_erzyamordvinerzy1239,fC,ejkakš,ejkakš,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fC-2,,v_erzyamordvinerzy1239,fC,ejdʹe,ejdʹe,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fC-3,,v_erzyamordvinerzy1239,fC,kaka,kaka,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fC-4,,v_erzyamordvinerzy1239,fC,pakša,pakša,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fC-5,,v_erzyamordvinerzy1239,fC,tʹaka,tʹaka,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fS-1,,v_erzyamordvinerzy1239,fS,ćora,ćora,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fD-1,,v_erzyamordvinerzy1239,fD,tʹejtʹeŕ,tʹejtʹeŕ,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fPP-1,,v_erzyamordvinerzy1239,fPP,pokštʹat-babat,pokštʹat-babat,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFF-1,,v_erzyamordvinerzy1239,fFF,atʹa,atʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFF-2,,v_erzyamordvinerzy1239,fFF,pokštʹa,pokštʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFF-3,,v_erzyamordvinerzy1239,fFF,bodʹa,bodʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFF-4,,v_erzyamordvinerzy1239,fFF,dʹeda,dʹeda,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFF-5,,v_erzyamordvinerzy1239,fFF,siŕe atʹa,siŕe atʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFM-1,,v_erzyamordvinerzy1239,fFM,siŕkaj,siŕkaj,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fFM-2,,v_erzyamordvinerzy1239,fFM,baba,baba,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMF-1,,v_erzyamordvinerzy1239,fMF,vasolpokštʹa,vasolpokštʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMF-2,,v_erzyamordvinerzy1239,fMF,vasolbodʹa,vasolbodʹa,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMF-3,,v_erzyamordvinerzy1239,fMF,vasoldʹeda,vasoldʹeda,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMF-4,,v_erzyamordvinerzy1239,fMF,večka dʹeda,večka dʹeda,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMM-1,,v_erzyamordvinerzy1239,fMM,vasolbaba,vasolbaba,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMM-2,,v_erzyamordvinerzy1239,fMM,večka baba,večka baba,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMM-3,,v_erzyamordvinerzy1239,fMM,mazibaba,mazibaba,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fMM-4,,v_erzyamordvinerzy1239,fMM,avka,avka,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fCC-1,,v_erzyamordvinerzy1239,fCC,nuka,nuka,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fCC-2,,v_erzyamordvinerzy1239,fCC,nućka,nućka,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fCC-3,,v_erzyamordvinerzy1239,fCC,bujo,bujo,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fCC-4,,v_erzyamordvinerzy1239,fCC,ejkakšoń ejkakš,ejkakšoń ejkakš,,,Meszaros_2001,,,,
v_erzyamordvinerzy1239-fSS-1,,v_erzyamordvinerzy1239,fSS,ćorań ćora,ćorań ćora,,,Meszaros_2001,,,,
