"","parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"224","fFZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"225","fFBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"226","fFBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"227","fFBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"228","fMBD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"229","fMBD","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"230","fMBD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"231","fMZD","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"232","fMZD","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"233","fMZD","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"234","fFBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"235","fFBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"236","fFBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"237","fFZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"238","fFZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"239","fFZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"240","fMBS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"241","fMBS","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"242","fMBS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"243","fMZS","voga vok",NA,NA,NA,"UR11","turkin_komi_2015",""
"244","fMZS","bratan",NA,NA,NA,"UR11","turkin_komi_2015",""
"245","fMZS","voga čoy",NA,NA,NA,"UR11","turkin_komi_2015",""
"246","fH","ver̃ös",NA,NA,NA,"UR11","turkin_komi_2015",""
"247","fW","götɩr̃",NA,NA,NA,"UR11","turkin_komi_2015",""
"248","fHF","testʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"249","fHM","tʸöšʸa",NA,NA,NA,"UR11","turkin_komi_2015",""
"250","fWF","ayka",NA,NA,NA,"UR11","turkin_komi_2015",""
"251","fWM","enʸka",NA,NA,NA,"UR11","turkin_komi_2015",""
"252","fWM","inʸka",NA,NA,NA,"UR11","turkin_komi_2015",""
"253","fSW","monʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"254","fSW","kev",NA,NA,NA,"UR11","turkin_komi_2015",""
"255","fSW","monʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"256","fSW","kev",NA,NA,NA,"UR11","turkin_komi_2015",""
"257","fDH","zyatʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"258","fDH","zyatʸ",NA,NA,NA,"UR11","turkin_komi_2015",""
"259","feB","vok",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"260","feZ","čoy",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"261","fFeB","dyadʸ",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"262","fFyB","dyadʸ",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"263","fFeZ","ob",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"264","fFyZ","ob",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"265","fMeZ","ičinʸ",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"266","fMyZ","ičinʸ",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"267","fMeB","čož",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"268","fMyB","čož",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"269","feBS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"270","fyBS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"271","feBD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"272","fyBD","plemyannic̷a",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"273","feZS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
"274","fyZS","plemyannik",NA,NA,NA,"UR11","turkin_komi_2015","Inferred; NA"
